,time
2,5.556
4,4.62
7,3.34
6,2.19
22,3.47
13,5.85
21,4.03
20,7.28
14,3.93
17,3.32
5,3.62
19,5.47
16,4.65
10,4.09
8,4.72
3,8.66
12,3.15
15,4.47
11,3.97
1,8.0
9,4.97
18,2.66
